"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
1,-0.026949995853921,0.0840027512662098,-0.0425594777448729,0.150593125359821,0.0419456566744591,0,0,0,0,0.149451113802848,-0.126808961020006
-0.0269500934120402,1,-0.112554397775102,0.0434615899976773,0,-0.233207798624365,0.219178999410569,0,0,0,0.0672041630218623,0.0353068683778637
0.0840027512655185,-0.11255439777513,1,-0.0482612682453023,0,0.195174629628849,-0.0706665687406105,-0.00706108280242542,0,0,-0.0329388824181189,0
-0.0425594776748364,0.0434615899976774,-0.0482612682453025,1,-0.00832230037285272,-0.0796355870869931,0,0.0688416977204296,0.151130298150608,0,0,-0.154725537741485
0.150593125359808,0,0,-0.0083222993851563,1,-0.0508766523421029,0.0530742974791747,0,0,0,0,0
0.041945656683768,-0.233207798624365,0.195174629628849,-0.0796355870356675,-0.0508766523421029,1,-0.0607380246998716,0.0736329939436985,-0.230401361342822,0,-0.127433643859189,0
0,0.219178999408676,-0.0706665687599272,0,0.0530742974778492,-0.0607380247032831,1,-0.20949411535677,0,0,0,0
0,0,-0.0070610828024254,0.068841697701451,0,0.0736329939387322,-0.20949411535677,1,0,0,-0.0799227074885867,-0.101098218194588
0,0,0,0.151130298150483,0,-0.230401361342822,0,0,1,0,0,-0.202596761331697
0,0,0,0,0,0,0,0,0,1,0,0
0.149451113802848,0.0672041630214619,-0.0329388824227132,0,0,-0.127433643879957,0,-0.0799227074851715,0,0,1,0
-0.126808961019971,0.0353068675815825,0,-0.154725537741538,0,0,0,-0.101098218193883,-0.202596761331697,0,0,1
