"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
1,0.102458880223343,0,0,-0.031599108666096,0,0.0643463262342623,0,0.0545562622908738,0,0.253039043155036,-0.150144926806408
0.102458880221819,1,0.0349945148499772,0,-0.0252289528860076,-0.146922213364406,0,0.158595524942236,0.0872203170367372,0,0.287621388742493,-0.149252697591592
0,0.0349945148498739,1,0,0,-0.216962273254246,0,0,0.240679003491999,0,0,-0.0677880178886293
0,0,0,1,0.172053667961196,0,0,0,-0.181673851958005,0,-0.0422845766834736,0.123861515777606
-0.0315991086649031,-0.0252289528783858,0,0.172053667961205,1,-0.149716505747145,-0.0507569431947235,0,-0.0238858386634832,0,-0.0756194986240121,0
0,-0.146922213364445,-0.216962273257297,0,-0.149716505747154,1,0.3110505433909,-0.112920453674694,-0.0416439895291383,0,0.0553353073532082,-0.0644660889950934
0.0643463262567423,0,0,0,-0.0507569431939237,0.31105054339086,1,0.12248084979452,-0.0900585904775473,0,0.181758460357657,0
0,0.158595524942236,0,0,0,-0.112920453674804,0.122480849794542,1,0,0,0.133388149412622,0
0.0545562622893751,0.087220317035782,0.240679003491958,-0.181673851958005,-0.0238858400520663,-0.0416439895291381,-0.090058590477583,0,1,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0
0.253039043155041,0.287621388742521,0,-0.0422845766834737,-0.0756194986188724,0.0553353073532095,0.181758460357665,0.133388149412792,0,0,1,0
-0.150144926807578,-0.149252697591432,-0.0677880178886293,0.123861515777606,0,-0.0644660889945448,0,0,0,0,0,1
