"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
1,-0.154546806372375,-0.0350079101651,-0.0858676016176344,0.0582525346388641,0,-0.176492886281498,0.151703250479976,0,0,0.22919333304058,0
-0.154546806372375,1,0,0,0.129505700759789,-0.131084704150468,0.157231169870894,0,-0.122930336416727,0,0,0
-0.0350079101651002,0,1,-0.0365512805596857,0,0,0.107369344591112,0,-0.0337270275361035,0,0,-0.202799950383985
-0.0858676016156445,0,-0.0365512805596857,1,0,-0.135450714331742,0.250917575684945,0,0,0,0,-0.149812175277414
0.0582525346392088,0.129505700759756,0,0,1,0.0778892754956136,0,0.0389400884560229,0,0,0,0
0,-0.131084704169969,0,-0.135450714331742,0.0778892754515861,1,0,-0.136776542369376,-0.067399299729453,0,0.078666980920657,0.0630414573175553
-0.17649288628154,0.157231169870917,0.107369344591296,0.250917575684942,0,0,1,0.0884652387515438,-0.14040534647931,0,0,-0.120047584694388
0.151703250479976,0,0,0,0.038940088456025,-0.136776542369379,0.0884652387515438,1,-0.120109105466435,0,-0.0906501787698485,-0.123699494063422
0,-0.122930336471744,-0.0337270275251043,0,0,-0.0673992426395104,-0.14040534647931,-0.120109105466424,1,0,0.0577050290915072,0
0,0,0,0,0,0,0,0,0,1,0,0
0.229193333040575,0,0,0,0,0.0786669809293696,0,-0.0906501787699751,0.0577050289566158,0,1,0.108673570429175
0,0,-0.202799950383985,-0.149812175277414,0,0.0630414573171995,-0.120047584694388,-0.123699494063409,0,0,0.108673570428929,1
