"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
1,-0.036428902109365,0,0,0.163867250688754,0,0.063587799314138,0.0751938705563737,0,0,-0.0409993766807084,0.0655675888139312
-0.0364289021138674,1,0,0,0,0.243661161781889,0,-0.0557432621286904,0.210700137835033,0,0.266034560524397,0
0,0,1,0.0537191378955457,0.105996108855013,0.123870230490739,-0.117363456877491,-0.125018694626622,-0.0566410843091497,0,0,-0.111940762603317
0,0,0.0537191378951993,1,0.0741386193882267,-0.264781183114968,0,0,0,0,0,0.128132168950959
0.163867250688725,0,0.105996108848886,0.0741386193647013,1,-0.16208197818165,0.136423893334142,-0.0310506942414611,0,0,0,0.173849164637981
0,0.243661161781889,0.123870230490662,-0.264781183114971,-0.16208197818165,1,0,0,0.140775039333252,0,0.180554086414181,-0.0625907972318751
0.0635877993141322,0,-0.117363456877493,0,0.136423893333944,0,1,-0.029316402054861,-0.108247555678508,0,-0.0489896234307582,0.0424371784555352
0.0751938705380169,-0.0557432621286901,-0.125018694626546,0,-0.0310506937187661,0,-0.0293164020548609,1,-0.207335006279784,0,0,0.0490368557373805
0,0.210700137835033,-0.0566410843103312,0,0,0.140775039333248,-0.108247555680126,-0.207335006279801,1,0,0.233407940461742,0
0,0,0,0,0,0,0,0,0,1,0,0
-0.0409993766807084,0.266034560524397,0,0,0,0.180554086414171,-0.0489896234307987,0,0.233407940461752,0,1,0.0505477817847976
0.0655675888139298,0,-0.111940762603379,0.12813216895101,0.173849164637944,-0.0625907972318752,0.042437178455535,0.0490368557375167,0,0,0.0505477817847776,1
