"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
1,0.175819913927385,0,0,-0.0308661518264976,0.145849784822466,0,0.0389217622543444,-0.118349230343961,0,0,0.164144410179862
0.175819913927375,1,0,0,0,-0.0476347779245004,0.080645415859348,-0.13978881576929,-0.0687616648087141,0,0,0
0,0,1,0,0.119428360789931,0.162164266820493,0.157057864674732,0.0820716498277401,-0.168298997611831,0,0.150918974717389,0
0,0,0,1,0.189119023668388,0,0,0,-0.0531367103464519,0,-0.0657503565940862,0.136532650664522
-0.0308661518264977,0,0.119428360793471,0.18911902366825,1,0.145772415666304,0.217591567835035,0.0252225854676326,0,0,0,-0.134775251714901
0.145849784822465,-0.0476347779252568,0.162164266820493,0,0.145772415666304,1,-0.144056084132853,0,0.120997795801838,0,0.159434002013592,0
0,0.0806454158551678,0.157057864674732,0,0.217591567835035,-0.144056084132889,1,0.0497748478595609,0,0,-0.194267102686018,0.14811788199423
0.0389217622543442,-0.13978881576929,0.082071649827823,0,0.0252225854673744,0,0.0497748478595495,1,0,0,0.142010738043204,0
-0.118349230343966,-0.0687616648087142,-0.16829899761185,-0.053136710347125,0,0.120997795801838,0,0,1,0,-0.0585365806962668,0
0,0,0,0,0,0,0,0,0,1,0,0
0,0,0.150918974717297,-0.0657503565940624,0,0.15943400201359,-0.194267102686018,0.142010738043025,-0.0585365806962574,0,1,0
0.164144410179763,0,0,0.136532650664416,-0.134775251714856,0,0.14811788199423,0,0,0,0,1
